Web Search interest: carnegie mellon university
United States; 2004 - present

Interest over time
Week,carnegie mellon university
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
El Paso TX,0
Helena MT,0
Casper-Riverton WY,0
Salt Lake City UT,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Tucson (Sierra Vista) AZ,0
Albuquerque-Santa Fe NM,0
Glendive MT,0
Bakersfield CA,0
Eugene OR,0
Eureka CA,0
Palm Springs CA,0
Yakima-Pasco-Richland-Kennewick WA,0
Reno NV,0
Medford-Klamath Falls OR,0
Seattle-Tacoma WA,0
Portland OR,0
Bend OR,0
San Diego CA,0
Monterey-Salinas CA,0
Las Vegas NV,0
Santa Barbara-Santa Maria-San Luis Obispo CA,0
Sacramento-Stockton-Modesto CA,0
Fresno-Visalia CA,0
Chico-Redding CA,0
Spokane WA,0


Top cities for carnegie mellon university
City,carnegie mellon university
Pittsburgh,100
Philadelphia,8
Reston,7
Washington,5
Columbus,4
San Jose,4
New York,4
Boston,4
San Francisco,3
Chicago,2
Austin,2
San Diego,2
Los Angeles,2
Seattle,2
Houston,2



Top searches for carnegie mellon university
pittsburgh university,100
university of pittsburgh,60
carnegie mellon ranking,35
carnegie mellon admissions,35
carnegie mellon jobs,20
carnegie mellon tuition,20
duquesne university,20
carnegie mellon address,15
carnegie mellon mba,15



Rising searches for carnegie mellon university
carnegie mellon admissions,Breakout
carnegie mellon ranking,Breakout
pittsburgh university,+60%
university of pittsburgh,+60%



